Tick: 194, energy: -14.5756, penergy: -15.8892, kenergy: 1.31358
Tick: 195, energy: -14.5756, penergy: -15.8898, kenergy: 1.31418
Tick: 196, energy: -14.5756, penergy: -15.8904, kenergy: 1.31479
Tick: 197, energy: -14.5756, penergy: -15.891, kenergy: 1.3154
Tick: 198, energy: -14.5756, penergy: -15.8916, kenergy: 1.31602
Tick: 199, energy: -14.5756, penergy: -15.8922, kenergy: 1.31663
Tick: 200, energy: -14.5756, penergy: -15.8929, kenergy: 1.31725
Tick: 201, energy: -14.5756, penergy: -15.8935, kenergy: 1.31787
Tick: 202, energy: -14.5756, penergy: -15.8941, kenergy: 1.3185
Tick: 203, energy: -14.5756, penergy: -15.8947, kenergy: 1.31913
Tick: 204, energy: -14.5756, penergy: -15.8954, kenergy: 1.31976
Tick: 205, energy: -14.5756, penergy: -15.896, kenergy: 1.32039
Tick: 206, energy: -14.5756, penergy: -15.8966, kenergy: 1.32103
Tick: 207, energy: -14.5756, penergy: -15.8973, kenergy: 1.32167
Tick: 208, energy: -14.5756, penergy: -15.8979, kenergy: 1.32232
Tick: 209, energy: -14.5756, penergy: -15.8986, kenergy: 1.32297
Tick: 210, energy: -14.5756, penergy: -15.8992, kenergy: 1.32362
Tick: 211, energy: -14.5756, penergy: -15.8999, kenergy: 1.32427
Tick: 212, energy: -14.5756, penergy: -15.9006, kenergy: 1.32493
Tick: 213, energy: -14.5756, penergy: -15.9012, kenergy: 1.32559
Tick: 214, energy: -14.5756, penergy: -15.9019, kenergy: 1.32625
Tick: 215, energy: -14.5756, penergy: -15.9025, kenergy: 1.32691
Tick: 216, energy: -14.5756, penergy: -15.9032, kenergy: 1.32758
Tick: 217, energy: -14.5756, penergy: -15.9039, kenergy: 1.32826
Tick: 218, energy: -14.5756, penergy: -15.9046, kenergy: 1.32893
Tick: 219, energy: -14.5756, penergy: -15.9052, kenergy: 1.32961
Tick: 220, energy: -14.5756, penergy: -15.9059, kenergy: 1.33029
Tick: 221, energy: -14.5756, penergy: -15.9066, kenergy: 1.33098
Tick: 222, energy: -14.5756, penergy: -15.9073, kenergy: 1.33166
Tick: 223, energy: -14.5756, penergy: -15.908, kenergy: 1.33236
Tick: 224, energy: -14.5756, penergy: -15.9087, kenergy: 1.33305
Tick: 225, energy: -14.5756, penergy: -15.9094, kenergy: 1.33375
Tick: 226, energy: -14.5756, penergy: -15.9101, kenergy: 1.33445
Tick: 227, energy: -14.5756, penergy: -15.9108, kenergy: 1.33515
Tick: 228, energy: -14.5757, penergy: -15.9115, kenergy: 1.33586
Tick: 229, energy: -14.5757, penergy: -15.9122, kenergy: 1.33657
Tick: 230, energy: -14.5757, penergy: -15.9129, kenergy: 1.33728
Tick: 231, energy: -14.5757, penergy: -15.9137, kenergy: 1.338
Tick: 232, energy: -14.5757, penergy: -15.9144, kenergy: 1.33872
Tick: 233, energy: -14.5757, penergy: -15.9151, kenergy: 1.33945
Tick: 234, energy: -14.5757, penergy: -15.9158, kenergy: 1.34017
Tick: 235, energy: -14.5757, penergy: -15.9166, kenergy: 1.3409
Tick: 236, energy: -14.5757, penergy: -15.9173, kenergy: 1.34163
Tick: 237, energy: -14.5757, penergy: -15.918, kenergy: 1.34237
Tick: 238, energy: -14.5757, penergy: -15.9188, kenergy: 1.34311
Tick: 239, energy: -14.5757, penergy: -15.9195, kenergy: 1.34385
Tick: 240, energy: -14.5757, penergy: -15.9203, kenergy: 1.3446
Tick: 241, energy: -14.5757, penergy: -15.921, kenergy: 1.34535
Tick: 242, energy: -14.5757, penergy: -15.9218, kenergy: 1.3461
Tick: 243, energy: -14.5757, penergy: -15.9225, kenergy: 1.34686
Tick: 244, energy: -14.5757, penergy: -15.9233, kenergy: 1.34762
Tick: 245, energy: -14.5757, penergy: -15.9241, kenergy: 1.34838
Tick: 246, energy: -14.5757, penergy: -15.9248, kenergy: 1.34915
Tick: 247, energy: -14.5757, penergy: -15.9256, kenergy: 1.34991
Tick: 248, energy: -14.5757, penergy: -15.9264, kenergy: 1.35069
Tick: 249, energy: -14.5757, penergy: -15.9271, kenergy: 1.35146
Tick: 250, energy: -14.5757, penergy: -15.9279, kenergy: 1.35224
Tick: 251, energy: -14.5757, penergy: -15.9287, kenergy: 1.35302
Tick: 252, energy: -14.5757, penergy: -15.9295, kenergy: 1.35381
Tick: 253, energy: -14.5757, penergy: -15.9303, kenergy: 1.3546
Tick: 254, energy: -14.5757, penergy: -15.9311, kenergy: 1.35539
Tick: 255, energy: -14.5757, penergy: -15.9319, kenergy: 1.35619
Tick: 256, energy: -14.5757, penergy: -15.9327, kenergy: 1.35699
Tick: 257, energy: -14.5757, penergy: -15.9335, kenergy: 1.35779
Tick: 258, energy: -14.5757, penergy: -15.9343, kenergy: 1.3586
Tick: 259, energy: -14.5757, penergy: -15.9351, kenergy: 1.35941
Tick: 260, energy: -14.5757, penergy: -15.9359, kenergy: 1.36022
Tick: 261, energy: -14.5757, penergy: -15.9367, kenergy: 1.36103
Tick: 262, energy: -14.5757, penergy: -15.9376, kenergy: 1.36185
Tick: 263, energy: -14.5757, penergy: -15.9384, kenergy: 1.36268
Tick: 264, energy: -14.5757, penergy: -15.9392, kenergy: 1.3635
Tick: 265, energy: -14.5757, penergy: -15.94, kenergy: 1.36433
Tick: 266, energy: -14.5757, penergy: -15.9409, kenergy: 1.36517
Tick: 267, energy: -14.5757, penergy: -15.9417, kenergy: 1.366
Tick: 268, energy: -14.5757, penergy: -15.9426, kenergy: 1.36684
